Clicked at pixel: (40, 444)
Real world position (X: -0.09, Z: 0.10)
Clicked at pixel: (196, 441)
Real world position (X: -0.04, Z: 0.10)
Clicked at pixel: (354, 434)
Real world position (X: 0.00, Z: 0.11)
Clicked at pixel: (511, 426)
Real world position (X: 0.05, Z: 0.12)
Clicked at pixel: (94, 376)
Real world position (X: -0.09, Z: 0.16)
Clicked at pixel: (223, 372)
Real world position (X: -0.04, Z: 0.16)
Clicked at pixel: (354, 368)
Real world position (X: 0.00, Z: 0.16)
Clicked at pixel: (483, 360)
Real world position (X: 0.05, Z: 0.17)
Clicked at pixel: (132, 328)
Real world position (X: -0.09, Z: 0.21)
Clicked at pixel: (353, 321)
Real world position (X: 0.00, Z: 0.22)
Clicked at pixel: (571, 315)
Real world position (X: 0.10, Z: 0.23)
Clicked at pixel: (256, 289)
Real world position (X: -0.04, Z: 0.27)
Clicked at pixel: (521, 255)
Real world position (X: 0.11, Z: 0.35)
Clicked at pixel: (200, 242)
Real world position (X: -0.09, Z: 0.38)
Clicked at pixel: (41, 444)
Real world position (X: -0.09, Z: 0.10)
Clicked at pixel: (196, 441)
Real world position (X: -0.04, Z: 0.10)
Clicked at pixel: (356, 435)
Real world position (X: 0.00, Z: 0.11)
Clicked at pixel: (512, 427)
Real world position (X: 0.05, Z: 0.12)
Clicked at pixel: (93, 376)
Real world position (X: -0.09, Z: 0.16)
Clicked at pixel: (224, 373)
Real world position (X: -0.04, Z: 0.16)
Clicked at pixel: (356, 367)
Real world position (X: 0.00, Z: 0.17)
Clicked at pixel: (485, 361)
Real world position (X: 0.05, Z: 0.17)
Clicked at pixel: (134, 327)
Real world position (X: -0.09, Z: 0.21)
Clicked at pixel: (244, 325)
Real world position (X: -0.04, Z: 0.22)
Clicked at pixel: (464, 313)
Real world position (X: 0.06, Z: 0.23)
Clicked at pixel: (355, 285)
Real world position (X: 0.01, Z: 0.28)
Clicked at pixel: (267, 261)
Real world position (X: -0.04, Z: 0.33)
Clicked at pixel: (201, 241)
Real world position (X: -0.09, Z: 0.39)
Clicked at pixel: (41, 443)
Real world position (X: -0.09, Z: 0.10)
